id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
280	"casamayor, eo"	0.6051	0.134	4	10	12	4	2008
283	"catala, p"	0.4431	0.4491	4	5	10	4	2011.75
284	"cavicchioli, r"	0.0965	0.5738	7	10	22	6	2011
296	"chavez, fp"	-0.305	0.0361	8	5	8	3	2016
297	"chen, f"	-0.6581	0.6122	5	30	49	10	2019.4
305	"chen, x"	-0.6244	0.0824	5	11	14	4	2021.5
307	"chen, xl"	-0.9123	0.3064	2	18	47	7	2021.1429
308	"chen, y"	-0.3259	0.4201	2	29	57	12	2018.4167
310	"cheng, c"	-0.6632	-0.1562	12	9	16	4	2021.5
319	"chisholm, sw"	0.0756	-0.461	1	10	18	8	2019.375
321	"cho, jc"	0.2757	-0.8647	14	12	19	9	2014.1111
330	"church, mj"	-0.0205	-0.3161	1	6	8	3	2013.6667
335	"clifford, el"	1.1835	-0.3901	3	4	10	3	2019.3333
348	"connon, sa"	-0.153	-0.8014	6	5	9	3	2002
357	"cottrell, mt"	0.4157	-0.4751	3	5	14	8	2009.875
359	"coutinho, fh"	0.9582	0.8388	9	8	12	5	2018.2
362	"cram, ja"	-0.455	-0.1901	7	5	8	5	2019.8
369	"crump, bc"	0.1779	-0.5103	1	4	4	5	2007.2
395	"davie-martin, cl"	-0.8646	-0.3632	13	11	23	3	2017.3333
397	"davis, ew2"	-0.9379	-0.4443	13	5	7	3	2024
402	"de corte, d"	1.2492	-0.4046	3	5	17	6	2017.5
424	"delong, ef"	-0.0737	0.0357	8	23	35	17	2014.5294
428	"demaere, mz"	0.0111	0.5678	7	8	19	4	2012.5
456	"dlugosch, l"	-0.5602	1.1689	15	4	13	5	2019.6
462	"dooley, k"	0.0257	-0.5045	1	8	12	3	2023.3333
465	"du, s"	-0.4662	0.6713	2	12	32	7	2022.2857
467	"ducklow, hw"	0.4125	-0.6128	3	7	8	5	2015.8
471	"dupont, cl"	0.1787	0.0045	1	11	20	5	2014.8
489	"eiler, a"	0.0923	-0.3923	1	10	12	6	2012.8333
498	"eloe-fadrosh, ea"	-1.1077	-0.1525	12	4	6	3	2023.3333
504	"eppley, jm"	-0.1932	0.0139	8	7	13	5	2017.2
510	"ettema, tjg"	-0.2745	-0.2477	12	7	11	4	2014.75
521	"faircloth, bc"	-0.6697	-0.2286	12	6	16	4	2021
544	"ferrera, i"	0.9164	-0.3013	3	9	15	5	2016.4
565	"francis, ca"	-0.7666	-0.1287	12	7	7	3	2021.3333
573	"fu, hh"	-0.8057	0.42	2	13	23	3	2021.6667
576	"fuchs, bm"	0.9614	0.3384	10	17	43	15	2015.6667
577	"fuchsman, ca"	-0.522	-0.2084	7	2	4	5	2019
580	"fuhrman, ja"	-0.2739	-0.0565	7	17	30	13	2014.3077
585	"galand, pe"	0.5378	0.1458	4	7	9	4	2014.25
587	"gao, c"	-0.8184	0.23	2	22	32	4	2022.75
591	"garcia-heredia, i"	0.623	0.6085	9	5	9	3	2020
597	"gasol, jm"	0.8291	-0.2278	3	24	47	18	2013.4444
606	"ghai, r"	0.936	0.561	9	5	12	5	2012.6
609	"giebel, ha"	-0.4655	1.0778	15	11	29	10	2015.5
611	"gifford, sm"	0.2583	-0.3828	8	3	5	3	2015.3333
612	"gilbert, ja"	-0.4931	-0.3803	7	4	6	4	2010.5
